Wepp ID,Final Sediment Yield,Treatment
1,7.68,0.5 tons/acre
2,3.22,No treatment
3,3.12,0.5 tons/acre
5,2.95,0.5 tons/acre
7,4.04,No treatment
10,8.41,2 tons/acre
11,9.77,0.5 tons/acre
18,2.49,0.5 tons/acre
23,9.47,0.5 tons/acre
27,4.22,No treatment
28,2.76,0.5 tons/acre
29,7.35,0.5 tons/acre
30,3.86,0.5 tons/acre
34,4.79,1 tons/acre
39,6.32,0.5 tons/acre
44,6.99,0.5 tons/acre
54,5.62,0.5 tons/acre
57,3.79,No treatment
58,3.95,0.5 tons/acre
65,4.28,No treatment
69,3.90,No treatment
77,5.34,No treatment
83,6.22,0.5 tons/acre
86,2.57,0.5 tons/acre
89,3.12,2 tons/acre
97,0.45,1 tons/acre
104,5.14,0.5 tons/acre
106,2.82,No treatment
110,2.46,0.5 tons/acre
116,0.41,1 tons/acre
120,4.36,1 tons/acre
126,6.16,0.5 tons/acre
131,3.99,No treatment
137,7.73,0.5 tons/acre
138,1.76,0.5 tons/acre
140,4.63,1 tons/acre
141,8.95,0.5 tons/acre
143,2.45,0.5 tons/acre
149,4.07,2 tons/acre
150,2.07,2 tons/acre
154,3.07,1 tons/acre
155,3.22,1 tons/acre
162,5.12,2 tons/acre
174,3.94,2 tons/acre
176,2.26,0.5 tons/acre
180,1.50,1 tons/acre
187,2.65,No treatment
192,5.72,1 tons/acre
209,1.80,0.5 tons/acre
210,1.30,1 tons/acre
211,3.08,0.5 tons/acre
214,4.99,0.5 tons/acre
223,6.28,0.5 tons/acre
226,4.73,No treatment
250,1.07,1 tons/acre
258,1.63,0.5 tons/acre
263,0.16,0.5 tons/acre
264,2.43,No treatment
265,4.34,1 tons/acre
266,0.90,0.5 tons/acre
268,3.74,No treatment
295,7.29,0.5 tons/acre
299,4.46,No treatment
